ID_hecho,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,COMUNA,pos x,pos y,ROL,PARTICIPANTES,VICTIMA,ACUSADO,EDAD_victima,FECHA_FALLECIMIENTO
2016-0125,2016-09-17,2016,9,17,12:14:00,12,AUTOPISTA PERITO MORENO Y AV JUAN B ALBERDI,10,-58.49020869,-34.64243791,CONDUCTOR,MOTO-MOTO,MOTO,MOTO,30.0,
2016-0126,2016-09-18,2016,9,18,22:45:00,22,IRIGOYEN Y TINOGASTA,10,-58.52572109,-34.62125906,CONDUCTOR,AUTO-CARGAS,AUTO,CARGAS,37.0,
2016-0126,2016-09-18,2016,9,18,22:45:00,22,IRIGOYEN Y TINOGASTA,10,-58.52572109,-34.62125906,PASAJERO_ACOMPAÑANTE,AUTO-CARGAS,AUTO,CARGAS,60.0,
2016-0127,2016-09-24,2016,9,24,10:25:00,10,AV MARIANO ACOSTA Y AV CNEL ROCA,8,-58.44094791,-34.66677111,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,50.0,
2016-0128,2016-10-02,2016,10,2,11:30:00,11,CASTRO Y AV PAVON,5,-58.41914024,-34.63053890,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,81.0,2016-10-02
2016-0130,2016-10-04,2016,10,4,12:30:00,12,AUTOPISTA 9 DE JULIO SUR Y AV BRASIL,1,-58.37910942,-34.62764717,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,29.0,2016-10-04
2016-0131,2016-10-09,2016,10,9,19:13:00,19,MIRAVE 3500,4,-58.39871183,-34.64539318,PEATON,PEATON-AUTO,PEATON,AUTO,35.0,
2016-0132,2016-10-10,2016,10,10,02:30:00,2,AV SAN JUAN Y 24 DE NOVIEMBRE,3,-58.41036975,-34.62477021,PASAJERO_ACOMPAÑANTE,AUTO-PASAJEROS,AUTO,PASAJEROS,30.0,2016-10-10
2016-0133,2016-10-14,2016,10,14,00:05:00,0,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,14,-58.40204698,-34.58342690,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,41.0,2016-10-25
2016-0134,2016-10-23,2016,10,23,05:00:00,5,AV PIEDRA BUENA Y 2 DE ABRIL 1982,8,-58.48935287,-34.67648597,CONDUCTOR,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,25.0,2016-10-23
2016-0135,2016-10-24,2016,10,24,05:00:00,5,AV FIGUEROA ALCORTA  Y PINEDO,14,-58.42260225,-34.56403694,PEATON,PEATON-SD,PEATON,SD,29.0,2016-10-25
2016-0136,2016-10-25,2016,10,25,00:00:00,0,AU BUENOS AIRES - LA PLATA KM. 4,4,.,.,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,,
2016-0137,2016-10-25,2016,10,25,00:39:00,0,AV SAN MARTIN Y LADINES,11,-58.51537091,-34.59035925,CONDUCTOR,MOTO-MOTO,MOTO,MOTO,30.0,
2016-0138,2016-10-27,2016,10,27,20:30:00,20,AV CABILDO Y BLANCO ENCALADA,13,-58.45909670,-34.55922742,CICLISTA,BICICLETA-CARGAS,BICICLETA,CARGAS,33.0,
2016-0139,2016-10-28,2016,10,28,23:00:00,23,AV PRESIDENTE FIGUEROA ALCORTA Y AV DORREGO,14,-58.42008769,-34.56539579,PASAJERO_ACOMPAÑANTE,MOTO-MOTO,MOTO,MOTO,35.0,
2016-0140,2016-10-31,2016,10,31,02:58:00,2,AV JURAMENTO Y VUELTA DE OBLIGADO,13,-58.45566399,-34.56147293,PASAJERO_ACOMPAÑANTE,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS,20.0,
2016-0142,2016-11-05,2016,11,5,23:30:00,23,AV DEL LIBERTADOR Y AV RAMOS MEJIA,1,-58.37533517,-34.59276462,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,46.0,2016-11-05
2016-0143,2016-11-06,2016,11,6,04:41:00,4,AV 27 DE FEBRERO Y AV ESCALADA,8,-58.44451316,-34.68475866,CONDUCTOR,MOTO-SD,MOTO,SD,35.0,
2016-0144,2016-11-07,2016,11,7,12:10:00,12,AV. ALTE. BROWN 984,4,-58.35975012,-34.63343907,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,83.0,
2016-0145,2016-11-07,2016,11,7,20:56:00,20,AV DEL LIBERTADOR Y LA PAMPA,13,-58.44523595,-34.55953855,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,39.0,2016-11-07
2016-0146,2016-11-09,2016,11,9,20:00:00,20,PICHINCHA Y AV BRASIL,4,-58.39626094,-34.63036565,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,29.0,
2016-0147,2016-11-16,2016,11,16,21:15:00,21,AV INDEPENDENCIA Y VIRREY CEVALLOS,1,-58.38896772,-34.61799615,PASAJERO_ACOMPAÑANTE,MOVIL-PASAJEROS,MOVIL,PASAJEROS,55.0,2016-11-16
2016-0148,2016-11-16,2016,11,16,22:20:00,22,AV GARMENDIA 4895,15,-58.46536113,-34.59484504,CONDUCTOR,MOTO-MOTO,MOTO,MOTO,,
